Top-200 PPR Rankings For 2017,,,,,,,,,,,Top-200 PPR Rankings For 2017,,,,,
PLAYER/POSITION/TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG,,,PLAYER/POSITION/TEAM,,,,,
"102. Zay Jones, WR, BUF",WR,6,89,113,134,105,89,106,,,102,Zay Jones,,,,
"103. Thomas Rawls, RB, SEA",RB,6,106,122,117,117,70,106.4,,,103,Thomas Rawls,,,,
"104. Giovani Bernard, RB, CIN",RB,6,127,105,109,115,87,108.6,,,104,Giovani Bernard,,,,
"105. Dak Prescott, QB, DAL",QB,6,121,109,119,97,114,112,,,105,Dak Prescott,,,,
"106. C.J. Prosise, RB, SEA",RB,6,115,161,93,76,116,112.2,,,106,C,J, Prosise,,
"107. Ted Ginn Jr., WR, NO",WR,5,63,95,118,NR,88,113,,,107,Ted Ginn Jr,,,,
"108. Tyler Eifert, TE, CIN",TE,6,114,108,125,128,91,113.2,,,108,Tyler Eifert,,,,
"109. Jordan Matthews, WR, BUF",WR,6,90,96,103,NR,79,113.8,,,109,Jordan Matthews,,,,
"110. Jacquizz Rodgers, RB, TB",RB,1,117,119,128,102,107,114.6,,,110,Jacquizz Rodgers,,,,
"111. Derek Carr, QB, OAK",QB,10,119,115,114,94,133,115,,,111,Derek Carr,,,,
"112. Corey Coleman, WR, CLE",WR,9,134,124,98,114,109,115.8,,,112,Corey Coleman,,,,
"113. Jameis Winston, QB, TB",QB,1,120,114,102,95,149,116,,,113,Jameis Winston,,,,
"114. Marcus Mariota, QB, TEN",QB,8,84,130,110,98,163,117,,,114,Marcus Mariota,,,,
"115. Corey Davis, WR, TEN",WR,8,105,89,113,108,170,117,,,115,Corey Davis,,,,
"116. Andrew Luck, QB, IND",QB,11,85,131,104,132,135,117.4,,,116,Andrew Luck,,,,
"117. Kevin White, WR, CHI",WR,9,113,97,121,177,84,118.4,,,117,Kevin White,,,,
"118. John Brown, WR, ARI",WR,8,112,90,108,180,112,120.4,,,118,John Brown,,,,
"119. Matthew Stafford, QB, DET",QB,7,174,101,97,96,138,121.2,,,119,Matthew Stafford,,,,
"120. Chris Thompson, RB, WAS",RB,5,138,128,101,119,121,121.4,,,120,Chris Thompson,,,,
"121. Danny Amendola, WR, NE",WR,9,92,123,167,112,126,124,,,121,Danny Amendola,,,,
"122. Derrick Henry, RB, TEN",RB,8,140,118,124,104,137,124.6,,,122,Derrick Henry,,,,
"123. Rex Burkhead, RB, NE",RB,9,88,117,168,162,96,126.2,,,123,Rex Burkhead,,,,
"124. Martellus Bennett, TE, GB",TE,8,171,133,100,127,111,128.4,,,124,Martellus Bennett,,,,
"125. Marvin Jones Jr., WR, DET",WR,7,133,93,105,111,NR,128.6,,,125,Marvin Jones Jr,,,,
"126. Josh Doctson, WR, WAS",WR,5,111,125,127,109,NR,134.6,,,126,Josh Doctson,,,,
"127. Ben Roethlisberger, QB, PIT",QB,9,172,132,107,133,134,135.6,,,127,Ben Roethlisberger,,,,
"128. Jack Doyle, TE, IND",TE,11,129,140,161,129,132,138.2,,,128,Jack Doyle,,,,
"129. Hunter Henry, TE, LAC",TE,9,135,164,138,126,130,138.6,,,129,Hunter Henry,,,,
"130. Broncos D/ST, D/ST, DEN",D/,5,142,142,133,139,140,139.2,,,130,Broncos D/ST,,,,
"131. Seahawks D/ST, D/ST, SEA",D/,6,141,141,140,140,142,140.8,,,131,Seahawks D/ST,,,,
"132. Philip Rivers, QB, LAC",QB,9,122,173,122,131,164,142.4,,,132,Philip Rivers,,,,
"133. Chiefs D/ST, D/ST, KC",D/,10,143,144,144,141,144,143.2,,,133,Chiefs D/ST,,,,
"134. Texans D/ST, D/ST, HOU",D/,7,144,143,143,142,147,143.8,,,134,Texans D/ST,,,,
"135. Vikings D/ST, D/ST, MIN",D/,9,147,145,146,144,143,145,,,135,Vikings D/ST,,,,
"136. Shane Vereen, RB, NYG",RB,8,164,129,120,197,118,145.6,,,136,Shane Vereen,,,,
"137. Justin Tucker, K, BAL",K1,10,151,148,151,151,151,150.4,,,137,Justin Tucker,,,,
"138. Latavius Murray, RB, MIN",RB,9,139,199,184,121,115,151.6,,,138,Latavius Murray,,,,
"139. Matt Bryant, K, ATL",K2,5,153,153,153,149,152,152,,,139,Matt Bryant,,,,
"140. Stephen Gostkowski, K, NE",K3,9,152,152,152,150,154,152,,,140,Stephen Gostkowski,,,,
"141. Jeremy Hill, RB, CIN",RB,6,130,162,180,118,172,152.4,,,141,Jeremy Hill,,,,
"142. Marqise Lee, WR, JAC",WR,8,195,112,141,192,128,153.6,,,142,Marqise Lee,,,,
"143. Adam Vinatieri, K, IND",K4,11,155,154,156,152,153,154,,,143,Adam Vinatieri,,,,
"144. Charles Sims, RB, TB",RB,1,NR,135,132,184,119,154.2,,,144,Charles Sims,,,,
"145. Dan Bailey, K, DAL",K5,6,156,155,154,153,155,154.6,,,145,Dan Bailey,,,,
"146. Panthers D/ST, D/ST, CAR",D/,11,190,146,147,145,146,154.8,,,146,Panthers D/ST,,,,
"147. Charcandrick West, RB, KC",RB,10,126,168,NR,160,120,155,,,147,Charcandrick West,,,,
"148. Sterling Shepard, WR, NYG",WR,8,199,120,116,172,169,155.2,,,148,Sterling Shepard,,,,
"149. Cardinals D/ST, D/ST, ARI",D/,8,145,NR,145,146,141,155.6,,,149,Cardinals D/ST,,,,
"150. Matt Prater, K, DET",K6,7,159,156,158,154,158,157,,,150,Matt Prater,,,,
"151. Patriots D/ST, D/ST, NE",D/,9,146,NR,149,143,148,157.4,,,151,Patriots D/ST,,,,
"152. Alvin Kamara, RB, NO",RB,5,131,179,165,137,176,157.6,,,152,Alvin Kamara,,,,
"153. Darren McFadden, RB, DAL",RB,6,136,169,187,135,162,157.8,,,153,Darren McFadden,,,,
"154. Kendall Wright, WR, CHI",WR,9,123,197,169,178,122,157.8,,,154,Kendall Wright,,,,
"155. Eric Ebron, TE, DET",TE,7,186,139,142,NR,124,158.4,,,155,Eric Ebron,,,,
"156. Torrey Smith, WR, PHI",WR,10,168,111,137,181,NR,159.6,,,156,Torrey Smith,,,,
"157. D'Onta Foreman, RB, HOU",RB,7,125,NR,181,120,173,160,,,157,D'Onta Foreman,,,,
"158. Andy Dalton, QB, CIN",QB,6,175,138,126,NR,171,162.2,,,158,Andy Dalton,,,,
"159. Wendell Smallwood, RB, PHI",RB,10,107,136,NR,198,174,163.2,,,159,Wendell Smallwood,,,,
"160. Jason Witten, TE, DAL",TE,6,NR,172,115,NR,131,164,,,160,Jason Witten,,,,
"161. Dustin Hopkins, K, WAS",K7,5,158,191,157,158,157,164.2,,,161,Dustin Hopkins,,,,
"162. Mason Crosby, K, GB",K8,8,160,157,155,155,199,165.2,,,162,Mason Crosby,,,,
"163. Carson Wentz, QB, PHI",QB,10,165,193,163,130,178,165.8,,,163,Carson Wentz,,,,
"164. Tyrod Taylor, QB, BUF",QB,6,173,194,130,NR,139,167.4,,,164,Tyrod Taylor,,,,
"165. Kenny Stills, WR, MIA",WR,1,185,137,131,189,196,167.6,,,165,Kenny Stills,,,,
"166. Jaguars D/ST, D/ST, JAC",D/,8,148,147,150,NR,NR,169.4,,,166,Jaguars D/ST,,,,
"167. Bengals D/ST, D/ST, CIN",D/,6,NR,151,148,147,NR,169.6,,,167,Bengals D/ST,,,,
"168. Samaje Perine, RB, WAS",RB,5,180,176,175,161,161,170.6,,,168,Samaje Perine,,,,
"169. Tyler Lockett, WR, SEA",WR,6,183,110,174,188,NR,171.2,,,169,Tyler Lockett,,,,
"170. Cole Beasley, WR, DAL",WR,6,200,167,176,NR,117,172.2,,,170,Cole Beasley,,,,
"171. Jamaal Williams, RB, GB",RB,8,NR,127,170,164,NR,172.6,,,171,Jamaal Williams,,,,
"172. Austin Hooper, TE, ATL",TE,5,162,171,166,NR,167,173.4,,,172,Austin Hooper,,,,
"173. Cairo Santos, K, KC",K9,10,192,NR,160,156,160,173.8,,,173,Cairo Santos,,,,
"174. Cooper Kupp, WR, LAR",WR,8,102,NR,NR,169,NR,174.8,,,174,Cooper Kupp,,,,
"175. Jamaal Charles, RB, DEN",RB,5,NR,126,162,185,NR,175,,,175,Jamaal Charles,,,,
"176. DeAndre Washington, RB, OAK",RB,10,137,NR,NR,138,NR,175.6,,,176,DeAndre Washington,,,,
"177. Jalen Richard, RB, OAK",RB,10,132,NR,193,159,NR,177.2,,,177,Jalen Richard,,,,
"178. Robert Woods, WR, LAR",WR,8,196,184,199,182,127,177.6,,,178,Robert Woods,,,,
"179. Giants D/ST, D/ST, NYG",D/,8,NR,149,189,NR,150,178,,,179,Giants D/ST,,,,
"180. Eli Manning, QB, NYG",QB,8,NR,175,135,NR,179,178.2,,,180,Eli Manning,,,,
"181. Dion Lewis, RB, NE",RB,9,NR,200,177,122,193,178.6,,,181,Dion Lewis,,,,
"182. James Conner, RB, PIT",RB,9,176,NR,NR,123,NR,180.4,,,182,James Conner,,,,
